dest_airport,max_arr_delay
"Brownsville, TX: Brownsville S","256.0"
"Charleston/Dunbar, WV: Yeager","256.0"
"Panama City, FL: Bay County","255.0"
"Lafayette, LA: Lafayette Regio","252.0"
"Nantucket, MA: Nantucket Memor","250.0"
"Ponce, PR: Mercedita","247.0"
"St. Mary's, AK: St. Mary's Air","244.0"
"Jacksonville/Camp Lejeune, NC:","240.0"
"Columbus, GA: Columbus Airport","239.0"
"Elmira/Corning, NY: Elmira/Cor","235.0"
"Pueblo, CO: Pueblo Memorial","228.0"
"Newport News/Williamsburg, VA:","228.0"
"Kinston, NC: Kinston Regional ","225.0"
"Ithaca/Cortland, NY: Ithaca To","218.0"
"Lewisburg, WV: Greenbrier Vall","218.0"
"Ashland, WV: Tri-State/Milton ","209.0"
"Montrose/Delta, CO: Montrose R","207.0"
"Utica/Rome, NY: Oneida County","203.0"
"Aniak, AK: Aniak Airport","195.0"
"Champaign/Urbana, IL: Universi","183.0"
"Flagstaff, AZ: Flagstaff Pulli","182.0"
"Atlantic City, NJ: Atlantic Ci","182.0"
"Stockton, CA: Stockton Metropo","180.0"
"Charlottesville, VA: Charlotte","175.0"
"Grand Canyon, AZ: Grand Canyon","165.0"
"Key West, FL: Key West Interna","154.0"
"Lake Tahoe, CA: Lake Tahoe Air","153.0"
"Trenton, NJ: Trenton Mercer","152.0"
"Yuma, AZ: Yuma MCAS/Yuma Inter","140.0"
"Houston, TX: Ellington","130.0"
"Palmdale, CA: Palmdale USAF Pl","127.0"
"Bend/Redmond, OR: Roberts Fiel","124.0"
"Waterloo, IA: Waterloo Regiona","116.0"
"Appleton, WI: Appleton Interna","114.0"
"Lynchburg, VA: Lynchburg Regio","104.0"
"Sun Valley/Hailey/Ketchum, ID:","83.0"
"Cody, WY: Yellowstone Regional","74.0"
"Twin Falls, ID: Joslin Field -","23.0"
